# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,
# Sat Oct  4 03:30:19 2025,,,,,,,,,,,
#,,,,,,,,,,,
# User ID:         navidajayaweera2006,,,,,,,,,,,
#,,,,,,,,,,,
# User preference: archive defaults*,,,,,,,,,,,
#,,,,,,,,,,,
# COLUMN tid:            TESS Input Catalog ID,,,,,,,,,,,
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC),,,,,,,,,,,
# COLUMN pl_tranmid:     Planet Transit Midpoint Value [BJD],,,,,,,,,,,
# COLUMN pl_orbper:      Planet Orbital Period Value [days],,,,,,,,,,,
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours],,,,,,,,,,,
# COLUMN pl_trandep:     Planet Transit Depth Value [ppm],,,,,,,,,,,
# COLUMN pl_insol:       Planet Insolation Value [Earth flux],,,,,,,,,,,
# COLUMN st_tmag:        TESS Magnitude,,,,,,,,,,,
# COLUMN st_dist:        Stellar Distance [pc],,,,,,,,,,,
# COLUMN st_teff:        Stellar Effective Temperature Value [K],,,,,,,,,,,
# COLUMN st_logg:        Stellar log(g) Value [cm/s**2],,,,,,,,,,,
# COLUMN st_rad:         Stellar Radius Value [R_Sun],,,,,,,,,,,
#,,,,,,,,,,,
tid,tfopwg_disp,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_insol,st_tmag,st_dist,st_teff,st_logg,st_rad
143257766,FP,2458656.451,1.66226,3.321,6030,7149.89,10.4063,386.323,7301,4.23,1.64
24094603,FP,2458658.611,4.07611,2.062,1454.18,,11.0605,338.644,,,
304774444,FP,2460115.853,3.6245513,3.042,1299,919.571,10.2934,249.826,6317,,1.38
469782185,APC,2458658.041,1.20928,1.886,11883.8,,10.2398,161.932,5159.8,4.23,1.27
128790976,APC,2460149.392,3.5187707,2.408,5634,2000.01,7.2235,75.7145,6690,4.24,1.49
80166433,PC,2459036.495,0.7724825,1.3744974,211.3168519,60276.50005,8.0465,237.593,8271,3.95,2.5027299
405862830,FP,2460122.432,1.6268695,3.231,1502,1946.23,10.3579,97.8115,5034,4.64,0.73
269450900,FP,2458657.631,2.32439,4.453,2704.18,68217.5,7.3163,177.741,8268.5,3.93,
425721385,FP,2458663.152,13.5499,1.795,1180,31.6652,9.7298,222.529,6209,4.09,1.63
91576611,FP,2458659.069,4.43651,3.365,1520,8233.41,8.7823,247.414,7101.9,3.91,2.32
97409519,KP,2458327.053,3.372877,2.63426,17163.60419,615.165921,12.1893,448.637,6050,4.45061,1.02
254113311,CP,2460144.137,8.34998,1.836,16680,19.9348,10.1429,58.2609,4236,4.52,0.74
254113311,CP,2460126.924,4.0686405,1.8373729,2650.095001,84.108766,10.1429,58.2609,4236,4.52,0.741921
198213332,PC,2458711.595,0.5860366,0.8098934,410.5241553,26813.10571,9.2872,222.74,5579,3.67,2.39803
